fixture_home,fixture_away,home_goals,away_goals
Mexico,South Africa,,
South Korea,Czech Republic,,
Canada,Bosnia and Herzegovina,,
United States,Paraguay,,
Qatar,Switzerland,,
Brazil,Morocco,,
Haiti,Scotland,,
Australia,Turkey,,
Germany,Curacao,,
Netherlands,Japan,,
Ivory Coast,Ecuador,,
Sweden,Tunisia,,
Spain,Cape Verde,,
Belgium,Egypt,,
Saudi Arabia,Uruguay,,
Iran,New Zealand,,
France,Senegal,,
Iraq,Norway,,
Argentina,Algeria,,
Austria,Jordan,,
Portugal,DR Congo,,
England,Croatia,,
Ghana,Panama,,
Uzbekistan,Colombia,,
