id,team_id,played,wins,draws,losses,goals_for,goals_against,points,created_at,updated_at
1,3,3,1,0,2,2,3,3,2026-06-18 03:05:28.927208,2026-06-25 07:19:19.177948
2,4,3,0,1,2,2,6,1,2026-06-18 03:05:28.929292,2026-06-25 07:19:49.180573
3,1,3,3,0,0,6,0,9,2026-06-18 03:05:28.93313,2026-06-25 07:19:49.18347
4,2,3,1,1,1,2,3,4,2026-06-18 03:05:28.934842,2026-06-25 07:19:19.172524
5,5,3,1,1,1,8,3,4,2026-06-18 03:05:28.939004,2026-06-24 23:21:33.534568
6,6,3,1,1,1,5,6,4,2026-06-18 03:05:28.940605,2026-06-24 23:21:15.995151
7,13,3,2,0,1,8,4,6,2026-06-18 03:05:28.944236,2026-06-26 07:42:19.83966
8,14,3,1,1,1,2,4,4,2026-06-18 03:05:28.952127,2026-06-26 07:41:58.093139
9,7,3,0,1,2,2,10,1,2026-06-18 03:05:28.955967,2026-06-24 23:21:15.999372
10,8,3,2,1,0,7,3,7,2026-06-18 03:05:28.95751,2026-06-24 23:21:33.531674
11,9,3,2,1,0,7,1,7,2026-06-18 03:05:28.96144,2026-06-25 00:08:14.380199
12,10,3,2,1,0,6,3,7,2026-06-18 03:05:28.963053,2026-06-25 00:07:56.20273
13,11,3,0,0,3,2,8,0,2026-06-18 03:05:28.966918,2026-06-25 00:07:56.206792
14,12,3,1,0,2,1,4,3,2026-06-18 03:05:28.968359,2026-06-25 00:08:14.377428
15,15,3,1,1,1,2,2,4,2026-06-18 03:05:28.972149,2026-06-26 07:41:58.095779
16,16,3,1,0,2,3,5,3,2026-06-18 03:05:28.973529,2026-06-26 07:42:19.834923
17,17,3,2,0,1,10,4,6,2026-06-18 03:05:28.977258,2026-06-25 23:28:01.236222
18,18,3,0,1,2,1,9,1,2026-06-18 03:05:28.978918,2026-06-25 23:27:39.816301
19,21,3,2,1,0,10,4,7,2026-06-18 03:05:28.982493,2026-06-26 03:26:23.855486
20,22,3,1,2,0,7,3,5,2026-06-18 03:05:28.983994,2026-06-26 03:26:03.724473
21,19,3,2,0,1,4,2,6,2026-06-18 03:05:28.987666,2026-06-25 23:27:39.819355
22,20,3,1,1,1,2,2,4,2026-06-18 03:05:28.989055,2026-06-25 23:28:01.233266
23,23,3,1,1,1,7,7,4,2026-06-18 03:05:28.992806,2026-06-26 03:26:03.727782
24,24,3,0,0,3,2,12,0,2026-06-18 03:05:28.994335,2026-06-26 03:26:23.850881
25,29,3,2,1,0,5,0,7,2026-06-18 03:05:28.99795,2026-06-27 06:07:56.68733
26,30,3,0,3,0,2,2,3,2026-06-18 03:05:28.999842,2026-06-27 06:07:34.086695
27,25,3,1,2,0,6,2,5,2026-06-18 03:05:29.003321,2026-06-27 06:08:43.284955
28,26,3,1,2,0,5,3,5,2026-06-18 03:05:29.004876,2026-06-27 06:08:20.340184
29,31,3,0,2,1,1,5,2,2026-06-18 03:05:29.008569,2026-06-27 06:07:34.09132
30,32,3,0,2,1,3,4,2,2026-06-18 03:05:29.009979,2026-06-27 06:07:56.684086
31,27,3,0,3,0,3,3,3,2026-06-18 03:05:29.013914,2026-06-27 06:08:20.344381
32,28,3,0,1,2,4,10,1,2026-06-18 03:05:29.015584,2026-06-27 06:08:43.282378
33,33,3,3,0,0,10,2,9,2026-06-18 03:05:29.019202,2026-06-26 23:10:52.23316
34,34,3,1,0,2,8,6,3,2026-06-18 03:05:29.020618,2026-06-26 23:11:20.846622
35,37,3,3,0,0,8,1,9,2026-06-18 03:05:29.024117,2026-06-28 04:14:50.83492
36,38,3,1,1,1,5,7,4,2026-06-18 03:05:29.025492,2026-06-28 04:15:07.585628
37,35,3,0,0,3,1,12,0,2026-06-18 03:05:29.029411,2026-06-26 23:11:20.854986
38,36,3,2,0,1,8,7,6,2026-06-18 03:05:29.030885,2026-06-26 23:10:52.229321
39,39,3,1,1,1,6,6,4,2026-06-18 03:05:29.034467,2026-06-28 04:15:07.588665
40,40,3,0,0,3,3,8,0,2026-06-18 03:05:29.035857,2026-06-28 04:14:50.832006
41,41,3,1,2,0,6,1,5,2026-06-18 03:07:21.973438,2026-06-28 04:13:58.868712
42,42,3,1,1,1,4,3,4,2026-06-18 03:07:21.975642,2026-06-28 04:14:17.220325
43,45,3,2,1,0,6,2,7,2026-06-18 03:07:37.820435,2026-06-28 04:13:43.5593
44,46,3,2,0,1,5,5,6,2026-06-18 03:07:37.822304,2026-06-28 04:13:21.752197
45,47,3,1,1,1,2,2,4,2026-06-18 03:07:48.672425,2026-06-28 04:13:21.756259
46,48,3,0,0,3,0,4,0,2026-06-18 03:07:48.674282,2026-06-28 04:13:43.555146
47,43,3,0,0,3,2,11,0,2026-06-19 02:37:27.176356,2026-06-28 04:14:17.223323
48,44,3,2,1,0,4,1,7,2026-06-19 02:37:27.17953,2026-06-28 04:13:58.865893
