id,name,group,ranking,flag,confederation,created_at,updated_at
1,Mexico,A,14,mexico_flag.png,CONCACAF,2026-06-18 02:41:01.705882,2026-06-18 02:41:01.705882
2,South Africa,A,65,south_africa_flag.png,CAF,2026-06-18 02:41:01.707839,2026-06-18 02:41:01.707839
3,South Korea,A,25,south_korea_flag.png,AFC,2026-06-18 02:41:01.708971,2026-06-18 02:41:01.708971
4,Czech Republic,A,40,czech_republic_flag.png,UEFA,2026-06-18 02:41:01.710091,2026-06-18 02:41:01.710091
5,Canada,B,45,canada_flag.png,CONCACAF,2026-06-18 02:41:01.711189,2026-06-18 02:41:01.711189
6,Bosnia and Herzegovina,B,58,bosnia_flag.png,UEFA,2026-06-18 02:41:01.712305,2026-06-18 02:41:01.712305
7,Qatar,B,53,qatar_flag.png,AFC,2026-06-18 02:41:01.71342,2026-06-18 02:41:01.71342
8,Switzerland,B,19,switzerland_flag.png,UEFA,2026-06-18 02:41:01.714484,2026-06-18 02:41:01.714484
9,Brazil,C,6,brazil_flag.png,CONMEBOL,2026-06-18 02:41:01.715565,2026-06-18 02:41:01.715565
10,Morocco,C,7,morocco_flag.png,CAF,2026-06-18 02:41:01.71666,2026-06-18 02:41:01.71666
11,Haiti,C,85,haiti_flag.png,CONCACAF,2026-06-18 02:41:01.717723,2026-06-18 02:41:01.717723
12,Scotland,C,32,scotland_flag.png,UEFA,2026-06-18 02:41:01.71879,2026-06-18 02:41:01.71879
13,United States,D,17,usa_flag.png,CONCACAF,2026-06-18 02:41:01.719921,2026-06-18 02:41:01.719921
14,Paraguay,D,50,paraguay_flag.png,CONMEBOL,2026-06-18 02:41:01.720998,2026-06-18 02:41:01.720998
15,Australia,D,25,australia_flag.png,AFC,2026-06-18 02:41:01.722059,2026-06-18 02:41:01.722059
16,Turkey,D,22,turkey_flag.png,UEFA,2026-06-18 02:41:01.723125,2026-06-18 02:41:01.723125
17,Germany,E,10,germany_flag.png,UEFA,2026-06-18 02:41:01.72419,2026-06-18 02:41:01.72419
18,Curacao,E,90,curacao_flag.png,CONCACAF,2026-06-18 02:41:01.725238,2026-06-18 02:41:01.725238
19,Ivory Coast,E,52,ivory_coast_flag.png,CAF,2026-06-18 02:41:01.726435,2026-06-18 02:41:01.726435
20,Ecuador,E,23,ecuador_flag.png,CONMEBOL,2026-06-18 02:41:01.727578,2026-06-18 02:41:01.727578
21,Netherlands,F,8,netherlands_flag.png,UEFA,2026-06-18 02:41:01.728621,2026-06-18 02:41:01.728621
22,Japan,F,18,japan_flag.png,AFC,2026-06-18 02:41:01.729682,2026-06-18 02:41:01.729682
23,Sweden,F,21,sweden_flag.png,UEFA,2026-06-18 02:41:01.730794,2026-06-18 02:41:01.730794
24,Tunisia,F,31,tunisia_flag.png,CAF,2026-06-18 02:41:01.731914,2026-06-18 02:41:01.731914
25,Belgium,G,9,belgium_flag.png,UEFA,2026-06-18 02:41:01.732998,2026-06-18 02:41:01.732998
26,Egypt,G,34,egypt_flag.png,CAF,2026-06-18 02:41:01.734173,2026-06-18 02:41:01.734173
27,Iran,G,20,iran_flag.png,AFC,2026-06-18 02:41:01.735318,2026-06-18 02:41:01.735318
28,New Zealand,G,100,new_zealand_flag.png,OFC,2026-06-18 02:41:01.73642,2026-06-18 02:41:01.73642
29,Spain,H,2,spain_flag.png,UEFA,2026-06-18 02:41:01.737469,2026-06-18 02:41:01.737469
30,Cape Verde,H,70,cape_verde_flag.png,CAF,2026-06-18 02:41:01.738522,2026-06-18 02:41:01.738522
31,Saudi Arabia,H,56,saudi_arabia_flag.png,AFC,2026-06-18 02:41:01.739571,2026-06-18 02:41:01.739571
32,Uruguay,H,16,uruguay_flag.png,CONMEBOL,2026-06-18 02:41:01.74062,2026-06-18 02:41:01.74062
33,France,I,3,france_flag.png,UEFA,2026-06-18 02:41:01.741929,2026-06-18 02:41:01.741929
34,Senegal,I,15,senegal_flag.png,CAF,2026-06-18 02:41:01.743233,2026-06-18 02:41:01.743233
35,Iraq,I,63,iraq_flag.png,AFC,2026-06-18 02:41:01.744426,2026-06-18 02:41:01.744426
36,Norway,I,41,norway_flag.png,UEFA,2026-06-18 02:41:01.745538,2026-06-18 02:41:01.745538
37,Argentina,J,1,argentina_flag.png,CONMEBOL,2026-06-18 02:41:01.7466,2026-06-18 02:41:01.7466
38,Algeria,J,33,algeria_flag.png,CAF,2026-06-18 02:41:01.74767,2026-06-18 02:41:01.74767
39,Austria,J,24,austria_flag.png,UEFA,2026-06-18 02:41:01.748759,2026-06-18 02:41:01.748759
40,Jordan,J,67,jordan_flag.png,AFC,2026-06-18 02:41:01.749817,2026-06-18 02:41:01.749817
41,Portugal,K,5,portugal_flag.png,UEFA,2026-06-18 02:41:01.751035,2026-06-18 02:41:01.751035
42,DR Congo,K,64,dr_congo_flag.png,CAF,2026-06-18 02:41:01.75212,2026-06-18 02:41:01.75212
43,Uzbekistan,K,60,uzbekistan_flag.png,AFC,2026-06-18 02:41:01.753188,2026-06-18 02:41:01.753188
44,Colombia,K,13,colombia_flag.png,CONMEBOL,2026-06-18 02:41:01.754253,2026-06-18 02:41:01.754253
45,England,L,4,england_flag.png,UEFA,2026-06-18 02:41:01.755315,2026-06-18 02:41:01.755315
46,Croatia,L,11,croatia_flag.png,UEFA,2026-06-18 02:41:01.756359,2026-06-18 02:41:01.756359
47,Ghana,L,46,ghana_flag.png,CAF,2026-06-18 02:41:01.75757,2026-06-18 02:41:01.75757
48,Panama,L,52,panama_flag.png,CONCACAF,2026-06-18 02:41:01.758688,2026-06-18 02:41:01.758688
